,V_i,D_i,spread_p90,spread_p95,spread_mean,cheap_freq_lt0,spike_freq_gt500,spike_runlen_gt500,spike_freq_gt1000,spike_runlen_gt1000,basis_abs_p95,basis_abs_p99,basis_sign_flip_rate,basis_extreme_avg_runlen
AZ_ALL,-6.049551672916753,0.0,27.034166666666668,27.639166666666664,16.596666666666668,0.10416666666666667,0.0,0.0,0.0,0.0,10.348999999999991,15.589299999999996,0.00980392156862745,5.8
BAFFIN_ALL,-3.3538761189999775,0.0,31.391583333333333,31.69995833333333,19.108333333333334,0.1527777777777778,0.0,0.0,0.0,0.0,20.741499999999984,33.68390000000001,0.018018018018018018,4.833333333333333
BBREEZE_1_2,-3.3831562920859093,0.0,31.452916666666667,32.09854166666666,19.017500000000002,0.14930555555555555,0.0,0.0,0.0,0.0,21.0415,33.632600000000004,0.01809954751131222,4.833333333333333
BCH_RN,-6.453349623089776,0.012031250000003268,26.183749999999996,26.59187499999999,16.225624999999997,0.10416666666666667,0.0,0.0,0.0,0.0,11.160499999999997,18.060999999999996,0.00975609756097561,5.8
BCK_RN,-6.471545838592295,0.02932291666666842,26.154166666666665,26.555416666666666,16.208333333333332,0.10416666666666667,0.0,0.0,0.0,0.0,11.206999999999995,18.250999999999994,0.00975609756097561,5.8
BLSMT1_5_A_6,3.9326456719400675,0.0,42.39666666666667,45.74541666666666,26.694791666666667,0.22916666666666666,0.0,0.0,0.0,0.0,21.0595,25.0478,0.029411764705882353,7.25
BLUEJAY_RN,-5.2823088756346115,0.0,28.960333333333335,30.00558333333333,17.434375,0.10416666666666667,0.0,0.0,0.0,0.0,7.888499999999999,11.332599999999998,0.009852216748768473,7.25
BLVN_RN,-0.978483724743149,0.0,36.626000000000005,39.31799999999999,21.505000000000003,0.13541666666666666,0.0,0.0,0.0,0.0,15.382999999999903,24.7168,0.039603960396039604,7.25
BOCO_ESS_RN,4.635670179153967,0.0,46.826416666666674,51.78654166666666,27.131458333333335,0.1076388888888889,0.0,0.0,0.0,0.0,14.78899999999999,22.12399999999999,0.02912621359223301,5.8
BOOTLEG_UN1,11.781275109635377,0.0,55.384333333333345,60.53383333333333,35.29020833333333,0.1111111111111111,0.0,0.0,0.0,0.0,22.576000000000004,41.15579999999995,0.028846153846153848,4.142857142857143
BRHEIGHT_RN,-6.2515495457107715,0.0,26.596583333333335,27.101208333333336,16.40875,0.10416666666666667,0.0,0.0,0.0,0.0,10.783,16.704499999999996,0.00980392156862745,5.8
BRPANGLE_RN,-6.4836366979840125,0.03848958333333741,26.126916666666663,26.520541666666663,16.199166666666663,0.10416666666666667,0.0,0.0,0.0,0.0,11.226999999999997,18.372299999999992,0.00975609756097561,5.8
BRP_LOP1_RN,-6.6245967231200735,0.2668229166666656,25.619500000000002,26.242250000000002,15.970833333333335,0.0625,0.0,0.0,0.0,0.0,17.091499999999986,32.120799999999996,0.034482758620689655,4.833333333333333
BRP_SWNY_RN,-6.478298973684751,0.03390625000000114,26.136583333333334,26.532458333333334,16.20375,0.10416666666666667,0.0,0.0,0.0,0.0,11.220499999999996,18.323599999999995,0.00975609756097561,5.8
BR_VHB6CT5_6,-8.312648441767017,1.9432812500000018,23.58075,24.126624999999997,14.294374999999999,0.10416666666666667,0.0,0.0,0.0,0.0,14.829999999999995,36.695899999999995,0.059113300492610835,7.25
BUCHAN_ALL,-7.417511830325664,0.4984895833333347,23.393,23.701499999999996,15.739166666666666,0.1284722222222222,0.0,0.0,0.0,0.0,24.194499999999934,64.20369999999998,0.04,7.25
BULLCRK_1_2,4.264624490603496,0.0,46.35116666666667,51.207666666666654,26.845416666666665,0.1076388888888889,0.0,0.0,0.0,0.0,14.549499999999998,21.592700000000004,0.02912621359223301,7.25
BYP_RN,-6.317922174442862,0.0,26.450583333333334,26.921958333333333,16.345625,0.10416666666666667,0.0,0.0,0.0,0.0,10.960999999999997,17.0858,0.00980392156862745,5.8
CALAVER_JKS2,-8.390600100862212,1.9709895833333313,23.549500000000002,24.0935,14.26666666666667,0.1076388888888889,0.0,0.0,0.0,0.0,14.789999999999996,36.67719999999999,0.038834951456310676,7.25
CASL_GAP_UN1,11.825498197393658,0.0,55.67958333333333,60.61770833333331,35.430416666666666,0.1111111111111111,0.0,0.0,0.0,0.0,21.874999999999996,44.29419999999993,0.028985507246376812,4.142857142857143
CEDROHI_CHW1,-6.696840759801046,0.18578125000000156,24.899749999999997,25.158624999999997,16.051875,0.0763888888888889,0.0,0.0,0.0,0.0,16.425999999999984,32.274699999999996,0.03553299492385787,4.833333333333333
CISC_RN,4.703285560193267,0.0,45.59991666666667,49.924541666666656,27.336875,0.19791666666666666,0.0,0.0,0.0,0.0,20.425499999999992,31.691100000000002,0.029556650246305417,7.25
CONTINEN_RN,-4.894544226521774,0.0,28.732583333333334,28.989208333333334,17.715,0.09375,0.0,0.0,0.0,0.0,18.256499999999985,33.37650000000001,0.02912621359223301,4.833333333333333
COYOTSPR_RN,10.927465400252263,0.0,54.33950000000001,59.29974999999999,34.36729166666667,0.1076388888888889,0.0,0.0,0.0,0.0,22.299000000000003,36.40619999999996,0.028985507246376812,5.8
CPSES_UNIT1,-0.7013112075216875,0.0,36.91741666666667,39.70954166666666,22.149791666666665,0.10416666666666667,0.0,0.0,0.0,0.0,9.964499999999997,11.9713,0.03664921465968586,9.666666666666666
DAN_ALL,-6.705809298764722,0.26161458333333343,25.692,25.980999999999998,15.976041666666667,0.10416666666666667,0.0,0.0,0.0,0.0,12.224499999999987,20.633999999999993,0.00975609756097561,5.8
DOW_64,-6.5466761297038545,0.09828125000000298,26.014999999999997,26.382499999999997,16.139374999999998,0.10416666666666667,0.0,0.0,0.0,0.0,11.352999999999998,18.86489999999999,0.00975609756097561,5.8
DOW_81_2_84,-6.5466761297038545,0.09828125000000298,26.014999999999997,26.382499999999997,16.139374999999998,0.10416666666666667,0.0,0.0,0.0,0.0,11.352999999999998,18.86489999999999,0.00975609756097561,5.8
DSWL_BES1,-2.660969403836073,0.0,34.859166666666674,37.20791666666666,19.870416666666667,0.10416666666666667,0.0,0.0,0.0,0.0,3.3149999999999924,6.673,0.011560693641618497,5.8
ESCONDID_ESR,-0.4333336397179914,0.0,33.31333333333333,34.57458333333332,22.850625,0.09375,0.0,0.0,0.0,0.0,11.546999999999986,19.467999999999996,0.04854368932038835,3.2222222222222223
EXN_8,-6.025115823798349,0.0,27.060499999999998,27.671499999999998,16.607916666666664,0.10416666666666667,0.0,0.0,0.0,0.0,10.308999999999992,15.517999999999995,0.00980392156862745,5.6
FAL_FALCONG1,-6.535116607793447,0.228281250000002,25.803083333333333,26.47070833333333,16.009375,0.06597222222222222,0.0,0.0,0.0,0.0,17.683999999999966,32.203399999999995,0.03553299492385787,4.833333333333333
FAL_FALCONG3,-6.535116607793447,0.228281250000002,25.803083333333333,26.47070833333333,16.009375,0.06597222222222222,0.0,0.0,0.0,0.0,17.683999999999966,32.203399999999995,0.03553299492385787,4.833333333333333
FOXTROT_ALL,-5.478217534810166,0.0,29.69891666666667,31.30029166666666,16.82916666666667,0.1111111111111111,0.0,0.0,0.0,0.0,15.40199999999998,33.500299999999996,0.02926829268292683,5.8
FO_FORMOSG8,-7.455650861623975,0.9730729166666663,24.435,24.604999999999997,15.264583333333334,0.0763888888888889,0.0,0.0,0.0,0.0,14.333499999999995,28.405599999999993,0.020512820512820513,5.8
FRMR_BS2_RN1,-1.9027479782623413,0.0,36.320916666666676,38.267541666666666,20.880625,0.10416666666666667,0.0,0.0,0.0,0.0,5.6919999999999975,6.831299999999999,0.010752688172043012,9.666666666666666
HAYSEN1_2,-7.657552144185185,1.252239583333333,24.303,24.494,14.985416666666667,0.10416666666666667,0.0,0.0,0.0,0.0,15.299499999999995,31.78119999999999,0.04878048780487805,7.25
HB_HOUSTON,-6.060420529778622,0.0,27.00816666666667,27.60741666666667,16.585625,0.10416666666666667,0.0,0.0,0.0,0.0,10.39549999999999,15.649299999999997,0.00980392156862745,5.8
HB_NORTH,-2.531989504188431,0.0,34.44858333333333,36.708458333333326,19.7025,0.10416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HB_SOUTH,-7.74782600362993,1.2078645833333326,24.232666666666667,24.430916666666665,15.029791666666668,0.0763888888888889,0.0,0.0,0.0,0.0,14.882999999999996,31.23989999999999,0.028037383177570093,7.25
HB_WEST,4.344548745447053,0.0,46.670666666666676,51.59116666666666,26.805000000000003,0.1111111111111111,0.0,0.0,0.0,0.0,15.971999999999994,22.129199999999994,0.02912621359223301,7.25
HDNLAKES_RN,-6.247420349133654,0.0,26.605666666666668,27.112416666666668,16.41229166666667,0.10416666666666667,0.0,0.0,0.0,0.0,10.776,16.675799999999995,0.00980392156862745,5.8
HI_LONEB_RN1,7.40729066184021,0.0,54.10375000000001,60.79187499999999,29.486666666666668,0.11458333333333333,0.0,0.0,0.0,0.0,15.647499999999997,32.5808,0.04326923076923077,4.833333333333333
HI_LONE_ALL,7.40729066184021,0.0,54.10375000000001,60.79187499999999,29.486666666666668,0.11458333333333333,0.0,0.0,0.0,0.0,15.647499999999997,32.5808,0.04326923076923077,4.833333333333333
HOLSTEIN_ALL,4.631503472516701,0.0,46.732916666666675,51.638541666666654,27.220208333333332,0.1076388888888889,0.0,0.0,0.0,0.0,15.245499999999998,23.311300000000003,0.04433497536945813,7.25
HOVEY_GEN,11.299458483841269,0.0,54.74316666666667,59.80741666666665,34.73291666666667,0.1076388888888889,0.0,0.0,0.0,0.0,22.0395,38.94699999999995,0.028846153846153848,4.142857142857143
H_HOLLO_WND1,4.87201232863241,0.0,47.37825,52.41787499999998,27.433124999999997,0.10416666666666667,0.0,0.0,0.0,0.0,15.61099999999999,24.490099999999998,0.04433497536945813,7.25
JUNO_ALL,4.635670179153967,0.0,46.826416666666674,51.78654166666666,27.131458333333335,0.1076388888888889,0.0,0.0,0.0,0.0,14.78899999999999,22.12399999999999,0.02912621359223301,5.8
K2_DGR1_RN,-8.271735533248187,1.922447916666668,23.629583333333333,24.14770833333333,14.315208333333333,0.1076388888888889,0.0,0.0,0.0,0.0,14.879999999999995,36.31589999999999,0.061224489795918366,7.25
LBRA_BES1,-7.952838398991854,1.5236979166666664,24.026416666666666,24.354041666666664,14.713958333333334,0.1076388888888889,0.0,0.0,0.0,0.0,14.772999999999994,33.137699999999995,0.03902439024390244,7.25
LEONLCPCT3_4,-8.352478901366247,1.9789062500000014,23.43625,24.050625,14.25875,0.1076388888888889,0.0,0.0,0.0,0.0,14.884499999999996,37.72239999999999,0.06372549019607843,7.25
LHSES_UNIT1,-1.644246813846785,0.0,36.56691666666667,38.22304166666667,21.16791666666667,0.10416666666666667,0.0,0.0,0.0,0.0,7.114999999999997,8.55,0.011299435028248588,9.666666666666666
LZ_HOUSTON,-4.4215472061568555,0.0,31.88041666666667,33.112291666666664,18.404375,0.10416666666666667,0.0,0.0,0.0,0.0,10.71,16.307499999999997,0.004889975550122249,11.6
LZ_NORTH,0.2327392117522229,0.0,43.82833333333333,47.65708333333332,23.151874999999997,0.10416666666666667,0.0,0.0,0.0,0.0,3.3825000000000007,4.1175,0.01904761904761905,19.333333333333332
LZ_SOUTH,-4.893356589986337,0.0,29.802083333333336,30.40895833333333,18.094583333333333,0.0763888888888889,0.0,0.0,0.0,0.0,15.21,29.077499999999997,0.014184397163120567,9.666666666666666
LZ_WEST,13.101853910499154,0.0,66.12800000000001,74.89649999999997,34.972500000000004,0.1076388888888889,0.0,0.0,0.0,0.0,15.5725,28.9975,0.014018691588785047,4.833333333333333
MAINLAND_RN,-6.271889880666585,0.0,26.55091666666667,27.04504166666667,16.389791666666667,0.10416666666666667,0.0,0.0,0.0,0.0,10.835999999999995,16.824499999999993,0.00980392156862745,5.8
MARBFA,-5.261043068751509,0.0,27.579,28.341999999999995,18.10395833333333,0.1423611111111111,0.0,0.0,0.0,0.0,28.738499999999917,76.26609999999998,0.04,9.666666666666666
MESQUITE_RN2,-4.748717022140008,0.0,29.202666666666666,29.352166666666665,17.943125,0.09375,0.0,0.0,0.0,0.0,18.656499999999998,33.6313,0.018867924528301886,5.8
MESTENO_RN,-5.992233128995469,0.0,26.50741666666667,26.72954166666667,16.68,0.06597222222222222,0.0,0.0,0.0,0.0,17.547999999999977,32.50379999999999,0.02,4.142857142857143
MGSES_CT456,5.210244086835805,0.0,46.808499999999995,51.76049999999998,27.86833333333333,0.1076388888888889,0.0,0.0,0.0,0.0,15.964999999999993,19.07279999999997,0.043689320388349516,7.25
MIDWY_RN,10.4698717195499,0.0,53.746,58.63049999999999,33.90479166666667,0.1076388888888889,0.0,0.0,0.0,0.0,22.247499999999995,33.310699999999976,0.028985507246376812,7.25
MIL_MILG345,0.6942613348487855,0.0,37.1395,39.832249999999995,23.675833333333333,0.2048611111111111,0.0,0.0,0.0,0.0,18.648999999999997,22.603900000000003,0.012121212121212121,9.666666666666666
MLSES_UNIT3,-3.1832840882907014,0.0,34.099833333333336,36.21908333333333,19.56791666666667,0.10416666666666667,0.0,0.0,0.0,0.0,2.9859999999999993,3.5813000000000015,0.01910828025477707,9.666666666666666
MYR_ALL,-6.4533496230897756,0.012031250000003268,26.183749999999996,26.59187499999999,16.225624999999997,0.10416666666666667,0.0,0.0,0.0,0.0,11.160499999999997,18.060999999999996,0.00975609756097561,5.8
NCO_RN,-6.473789143503169,0.029739583333334707,26.144166666666663,26.54166666666666,16.207916666666666,0.10416666666666667,0.0,0.0,0.0,0.0,11.216999999999995,18.293599999999994,0.00975609756097561,5.8
ODESW_RN,10.694183090268309,0.0,53.86816666666668,58.65241666666667,34.1525,0.1076388888888889,0.0,0.0,0.0,0.0,22.9455,33.024099999999976,0.028985507246376812,7.25
PAP1_PAP1,-5.887754528618096,0.0,27.9795,29.141,16.420416666666664,0.0763888888888889,0.0,0.0,0.0,0.0,19.320999999999987,33.711,0.0196078431372549,4.833333333333333
PB2SES_CT2,10.77979518734298,0.0,54.050583333333336,58.93070833333332,34.165,0.1076388888888889,0.0,0.0,0.0,0.0,22.532,34.66469999999997,0.028985507246376812,5.8
PB2SES_CT4,10.77979518734298,0.0,54.050583333333336,58.93070833333332,34.165,0.1076388888888889,0.0,0.0,0.0,0.0,22.532,34.66469999999997,0.028985507246376812,5.8
PH2_U1_U2,3.75801961141013,0.0,41.26925000000001,45.84962499999999,26.318125000000002,0.2881944444444444,0.0,0.0,0.0,0.0,22.012999999999998,27.676699999999993,0.03271028037383177,5.8
PINEFRST_RN,-1.1762179756196345,0.0,37.30533333333334,38.85058333333334,21.652500000000003,0.10416666666666667,0.0,0.0,0.0,0.0,8.231499999999997,9.89,0.010582010582010581,9.666666666666666
PPEC_RN,-3.6241936262806065,0.0,32.90558333333333,34.831958333333326,19.058333333333334,0.10416666666666667,0.0,0.0,0.0,0.0,2.120000000000003,3.0752,0.010810810810810811,7.25
PTLBES_BESS1,-7.4320054029582225,0.9782812500000002,24.431833333333334,24.610083333333332,15.259375,0.0763888888888889,0.0,0.0,0.0,0.0,14.353499999999995,28.48429999999999,0.030303030303030304,5.8
QUEEN_SL_RN,11.545721991129923,0.0,54.97100000000002,60.01675,35.046875,0.1111111111111111,0.0,0.0,0.0,0.0,22.3795,40.56309999999995,0.028846153846153848,4.142857142857143
RAT_RN_1,31.762963857742825,0.0,107.47600000000001,123.36549999999995,53.03458333333333,0.10069444444444445,0.0,0.0,0.0,0.0,48.903499999999866,129.69,0.07352941176470588,9.666666666666666
REROCK_ALL,11.29945848384127,0.0,54.74316666666667,59.80741666666665,34.73291666666667,0.1076388888888889,0.0,0.0,0.0,0.0,22.0395,38.94699999999995,0.028846153846153848,4.142857142857143
RIOG_ESR_RN,-4.89205322891795,0.0,28.738833333333336,28.994833333333336,17.717916666666667,0.09375,0.0,0.0,0.0,0.0,18.26299999999998,33.3952,0.028985507246376812,4.833333333333333
RN_DEC_AGR_C,33.77995399139913,0.0,94.47766666666668,100.43091666666666,55.91333333333333,0.2743055555555556,0.0,0.0,0.0,0.0,91.98299999999998,110.43560000000001,0.01,9.666666666666666
RN_LNP_SLR,-6.435903518507757,0.0,26.213,26.62775,16.241666666666667,0.10416666666666667,0.0,0.0,0.0,0.0,11.150499999999997,17.950999999999997,0.00975609756097561,5.8
RN_RHN_ESR,-6.104457032731948,0.0,27.123416666666667,27.748791666666666,16.63479166666667,0.10416666666666667,0.0,0.0,0.0,0.0,10.198999999999993,15.357999999999992,0.00980392156862745,7.25
RN_SOLC_SLR,3.262860547644327,0.0,42.701750000000004,46.75212499999999,25.925208333333334,0.1597222222222222,0.0,0.0,0.0,0.0,16.987,20.1752,0.029556650246305417,7.25
ROW_ALL,-6.423835923903236,0.0,26.239666666666665,26.661916666666663,16.250833333333333,0.10416666666666667,0.0,0.0,0.0,0.0,11.120499999999996,17.80099999999999,0.00975609756097561,5.8
RSK_RN,14.092683613968333,0.0,56.52966666666667,60.33316666666666,37.72270833333334,0.21180555555555555,0.0,0.0,0.0,0.0,27.559500000000003,32.99439999999999,0.05339805825242718,5.8
RUSSEKST_RN,44.1646255401197,0.0,123.35375000000003,133.414375,67.34270833333335,0.0763888888888889,0.0,0.0,0.0,0.0,67.09349999999988,171.27379999999985,0.04830917874396135,4.833333333333333
SAMSON_ALL,-1.6313363131285017,0.0,36.67633333333334,38.45733333333333,21.17125,0.10416666666666667,0.0,0.0,0.0,0.0,6.688499999999997,8.04,0.0106951871657754,9.666666666666666
SANDHSYD1_2,-7.6593876658158315,1.2324479166666684,24.223583333333334,24.30345833333333,15.005208333333332,0.10416666666666667,0.0,0.0,0.0,0.0,16.265999999999995,32.62639999999999,0.03940886699507389,7.25
SANDLAKE_RN,10.926672688049244,0.0,54.336583333333344,59.28870833333333,34.361041666666665,0.1076388888888889,0.0,0.0,0.0,0.0,22.339000000000002,36.25539999999996,0.028985507246376812,5.8
SIL_SILAS_10,-4.7461600410125255,0.0,29.210833333333333,29.368333333333336,17.945625,0.09375,0.0,0.0,0.0,0.0,18.638499999999997,33.6313,0.018867924528301886,5.8
SOLARA_UNIT1,4.5829418129648785,0.0,45.80758333333334,50.519208333333324,27.159583333333334,0.14930555555555555,0.0,0.0,0.0,0.0,17.080499999999997,21.497899999999998,0.029411764705882353,7.25
SRWE1_UNIT1,4.635670179153967,0.0,46.826416666666674,51.78654166666666,27.131458333333335,0.1076388888888889,0.0,0.0,0.0,0.0,14.78899999999999,22.12399999999999,0.02912621359223301,5.8
STAM_SLR_ALL,-1.6402661969582089,0.0,36.66358333333333,38.44845833333332,21.161875,0.10416666666666667,0.0,0.0,0.0,0.0,6.661999999999996,8.009999999999998,0.0106951871657754,9.666666666666666
STP_STP_G2,-6.795791216556357,0.35098958333333385,25.50708333333333,25.75145833333333,15.886666666666667,0.10416666666666667,0.0,0.0,0.0,0.0,12.525999999999991,21.256599999999995,0.00975609756097561,5.8
SWTWN4_WND45,4.493154473780473,0.0,46.05541666666667,50.832291666666656,27.278958333333335,0.1076388888888889,0.0,0.0,0.0,0.0,15.705499999999999,19.930399999999988,0.04390243902439024,9.666666666666666
SYBR_SLR_RN,-3.870157341317677,0.0,30.99841666666667,32.46004166666666,18.673541666666665,0.12152777777777778,0.0,0.0,0.0,0.0,13.605499999999992,19.6351,0.039603960396039604,7.25
S_HILLS_RN,4.292487927012855,0.0,42.11983333333334,44.89158333333333,27.183958333333337,0.23958333333333334,0.0,0.0,0.0,0.0,22.737999999999992,27.6465,0.009852216748768473,5.8
TGW_T1_T2,-3.353876118999977,0.0,31.391583333333333,31.69995833333333,19.108333333333334,0.1527777777777778,0.0,0.0,0.0,0.0,20.741499999999984,33.68390000000001,0.018018018018018018,4.833333333333333
TOPAZ_ALL,-6.253058402108904,0.0,26.593666666666667,27.097666666666665,16.407291666666666,0.10416666666666667,0.0,0.0,0.0,0.0,10.7865,16.714499999999994,0.00980392156862745,5.8
TRINITY_ALL,2.9545479083908988,0.0,41.107083333333335,44.49520833333332,25.730416666666667,0.21875,0.0,0.0,0.0,0.0,19.545499999999993,23.4352,0.009950248756218905,7.25
TRUENO_ALL,-4.723410190494892,0.0,29.24375,29.378124999999997,17.968958333333333,0.09375,0.0,0.0,0.0,0.0,18.702499999999997,33.6426,0.018867924528301886,5.8
